Rk,Player,Nation,Pos,Squad,Age,Weekly Wages (GBP),Annual Wages (GBP),Name,Position,Annual Wages,Weekly Wages
,,,,,,,,Andy Irving,MF,£6.2M,"£119,231"
,,,,,,,,Anthony Elanga,FW,£11.5M,"£221,154"
,,,,,,,,Anthony Gordon,FW,£11.1M,"£213,462"
,,,,,,,,Antoine Semenyo,FW,£9.6M,"£184,615"
,,,,,,,,Antonee Robinson,DF,£5.2M,"£100,000"
,,,,,,,,Antony,DF,£5.0M,"£96,154"
,,,,,,,,Antonín Kinský,GK,£3.8M,"£73,077"
,,,,,,,,Archie Gray,DF,£4.3M,"£82,692"
,,,,,,,,Arijanet Muric,GK,£4.7M,"£90,385"
,,,,,,,,Armando Broja,FW,£5.2M,"£100,000"
,,,,,,,,Armel Bella Kotchap,DF,£5.2M,"£100,000"
,,,,,,,,Asher Agbinone,MF,£5.9M,"£113,462"
,,,,,,,,Ashley Young,DF,£8.2M,"£157,692"
,,,,,,,,Axel Disasi,DF,£3.9M,"£75,000"
,,,,,,,,Axel Tuanzebe,DF,£4.8M,"£92,308"
,,,,,,,,Ayden Heaven,DF,£5.4M,"£103,846"
,,,,,,,,Bart Verbruggen,GK,£8.9M,"£171,154"
,,,,,,,,Ben Brereton,FW,£6.6M,"£126,923"
,,,,,,,,Ben Chilwell,DF,£4.5M,"£86,538"
,,,,,,,,Ben Davies,DF,£5.6M,"£107,692"
,,,,,,,,Ben Godfrey,DF,£3.9M,"£75,000"
,,,,,,,,Ben Johnson,DF,£5.3M,"£101,923"
,,,,,,,,Ben Mee,DF,£5.4M,"£103,846"
,,,,,,,,Ben White,DF,£3.9M,"£75,000"
,,,,,,,,Ben Winterburn,MF,£4.9M,"£94,231"
,,,,,,,,Benoît Badiashile,DF,£4.4M,"£84,615"
,,,,,,,,Bernardo Silva,MF,£7.7M,"£148,077"
,,,,,,,,Bernd Leno,GK,£5.3M,"£101,923"
,,,,,,,,Beto,FW,£8.3M,"£159,615"
,,,,,,,,Bilal El Khannouss,MF,£7.8M,"£150,000"
,,,,,,,,Billy Gilmour,MF,£5.3M,"£101,923"
,,,,,,,,Bobby De Cordova-Reid,FW,£6.1M,"£117,308"
,,,,,,,,Boubacar Kamara,MF,£4.0M,"£76,923"
,,,,,,,,Boubacar Traoré,MF,£5.2M,"£100,000"
,,,,,,,,Boubakary Soumaré,MF,£10.4M,"£200,000"
,,,,,,,,Brajan Gruda,MF,£4.8M,"£92,308"
,,,,,,,,Brandon Austin,GK,£3.7M,"£71,154"
,,,,,,,,Brennan Johnson,FW,£11.0M,"£211,538"
,,,,,,,,Bruno Fernandes,MF,£6.6M,"£126,923"
,,,,,,,,Bruno Guimarães,MF,£8.2M,"£157,692"
,,,,,,,,Bryan Mbeumo,FW,£13.9M,"£267,308"
,,,,,,,,Bukayo Saka,FW,£7.9M,"£151,923"
,,,,,,,,Caleb Kporha,DF,£4.4M,"£84,615"
,,,,,,,,Caleb Okoli,DF,£5.4M,"£103,846"
,,,,,,,,Callum Hudson-Odoi,FW,£8.9M,"£171,154"
,,,,,,,,Callum Wilson,FW,£6.7M,"£128,846"
,,,,,,,,Calvin Bassey,DF,£9.2M,"£176,923"
,,,,,,,,Cameron Archer,FW,£4.9M,"£94,231"
,,,,,,,,Cameron Burgess,DF,£5.2M,"£100,000"
,,,,,,,,Caoimhín Kelleher,GK,£2.9M,"£55,769"
,,,,,,,,Carlos Alcaraz,MF,£4.6M,"£88,462"
,,,,,,,,Carlos Baleba,MF,£7.0M,"£134,615"
,,,,,,,,Carlos Forbs,MF,£4.4M,"£84,615"
,,,,,,,,Carlos Soler,MF,£5.4M,"£103,846"
,,,,,,,,Carlos Vinícius,MF,£4.9M,"£94,231"
,,,,,,,,Casemiro,MF,£4.1M,"£78,846"
,,,,,,,,Chadi Riad,DF,£3.5M,"£67,308"
,,,,,,,,Charlie Taylor,DF,£3.4M,"£65,385"
,,,,,,,,Cheick Doucouré,MF,£5.1M,"£98,077"
,,,,,,,,Chidozie Obi-Martin,FW,£4.4M,"£84,615"
,,,,,,,,Chiedozie Ogbene,FW,£5.9M,"£113,462"
,,,,,,,,Chiquinho,MF,£6.2M,"£119,231"
,,,,,,,,Chris Richards,DF,£10.2M,"£196,154"
,,,,,,,,Chris Wood,FW,£14.4M,"£276,923"
,,,,,,,,Christian Eriksen,MF,£3.9M,"£75,000"
,,,,,,,,Christian Nørgaard,MF,£8.7M,"£167,308"
,,,,,,,,Christian Walton,GK,£4.1M,"£78,846"
,,,,,,,,Christopher Nkunku,FW,£5.4M,"£103,846"
,,,,,,,,Claudio Echeverri,FW,£4.8M,"£92,308"
,,,,,,,,Cody Gakpo,FW,£11.3M,"£217,308"
,,,,,,,,Cole Palmer,MF,£11.1M,"£213,462"
,,,,,,,,Conor Bradley,DF,£5.6M,"£107,692"
,,,,,,,,Conor Chaplin,MF,£4.8M,"£92,308"
,,,,,,,,Conor Coady,DF,£3.2M,"£61,538"
,,,,,,,,Conor Townsend,DF,£3.4M,"£65,385"
,,,,,,,,Craig Dawson,DF,£4.6M,"£88,462"
,,,,,,,,Cristian Romero,DF,£4.3M,"£82,692"
,,,,,,,,Crysencio Summerville,FW,£6.3M,"£121,154"
,,,,,,,,Curtis Jones,MF,£8.3M,"£159,615"
,,,,,,,,Daichi Kamada,MF,£4.3M,"£82,692"
,,,,,,,,Dan Burn,DF,£7.2M,"£138,462"
,,,,,,,,Dane Scarlett,FW,£6.7M,"£128,846"
,,,,,,,,Dango Ouattara,FW,£9.1M,"£175,000"
,,,,,,,,Daniel Bentley,GK,£4.1M,"£78,846"
,,,,,,,,Daniel Jebbison,FW,£6.8M,"£130,769"
,,,,,,,,Daniel Muñoz,DF,£8.0M,"£153,846"
,,,,,,,,Daniel Podence,MF,£4.3M,"£82,692"
,,,,,,,,Danilo,MF,£6.0M,"£115,385"
,,,,,,,,Danny Ings,FW,£6.4M,"£123,077"
,,,,,,,,Danny Ward,GK,£3.3M,"£63,462"
,,,,,,,,Danny Welbeck,FW,£11.7M,"£225,000"
,,,,,,,,Dara O'Shea,DF,£10.3M,"£198,077"
,,,,,,,,Darwin Núñez,FW,£8.1M,"£155,769"
,,,,,,,,David Brooks,FW,£4.3M,"£82,692"
,,,,,,,,David Raya,GK,£8.7M,"£167,308"
,,,,,,,,Dean Henderson,GK,£10.4M,"£200,000"
,,,,,,,,Dean Huijsen,DF,£6.1M,"£117,308"
,,,,,,,,Declan Rice,MF,£8.3M,"£159,615"
,,,,,,,,Dejan Kulusevski,MF,£8.6M,"£165,385"
,,,,,,,,Destiny Udogie,DF,£8.1M,"£155,769"
,,,,,,,,Diego Carlos,DF,£5.4M,"£103,846"
,,,,,,,,Diego Gómez,MF,£3.8M,"£73,077"
,,,,,,,,Diogo Dalot,DF,£7.7M,"£148,077"
,,,,,,,,Diogo Jota,FW,£9.3M,"£178,846"
,,,,,,,,Divin Mubama,FW,£6.4M,"£123,077"
,,,,,,,,Djed Spence,DF,£3.2M,"£61,538"
,,,,,,,,Dominic Calvert-Lewin,FW,£6.6M,"£126,923"
,,,,,,,,Dominic Solanke,FW,£10.8M,"£207,692"
,,,,,,,,Dominik Szoboszlai,MF,£8.6M,"£165,385"
,,,,,,,,Donyell Malen,FW,£4.7M,"£90,385"
,,,,,,,,Dwight McNeil,MF,£6.5M,"£125,000"
,,,,,,,,Eberechi Eze,MF,£8.2M,"£157,692"
,,,,,,,,Eddie Nketiah,FW,£5.5M,"£105,769"
,,,,,,,,Ederson,GK,£10.1M,"£194,231"
,,,,,,,,Edmond-Paris Maghoma,MF,£4.6M,"£88,462"
,,,,,,,,Edson Álvarez,MF,£4.8M,"£92,308"
,,,,,,,,Eiran Cashin,DF,£4.7M,"£90,385"
,,,,,,,,Elliot Anderson,MF,£7.1M,"£136,538"
,,,,,,,,Emerson Palmieri,DF,£8.4M,"£161,538"
,,,,,,,,Emi Buendía,MF,£3.8M,"£73,077"
,,,,,,,,Emil Krafth,DF,£3.5M,"£67,308"
,,,,,,,,Emile Smith Rowe,MF,£8.2M,"£157,692"
,,,,,,,,Emiliano Martínez,GK,£6.2M,"£119,231"
,,,,,,,,Emmanuel Agbadou,DF,£4.3M,"£82,692"
,,,,,,,,Enes Ünal,FW,£5.2M,"£100,000"
,,,,,,,,Enzo Fernández,MF,£6.8M,"£130,769"
,,,,,,,,Eric da Silva Moreira,MF,£5.5M,"£105,769"
,,,,,,,,Erling Haaland,FW,£15.2M,"£292,308"
,,,,,,,,Ethan Nwaneri,FW,£8.8M,"£169,231"
,,,,,,,,Ethan Pinnock,DF,£7.5M,"£144,231"
,,,,,,,,Evan Ferguson,FW,£4.7M,"£90,385"
,,,,,,,,Evanilson,FW,£10.2M,"£196,154"
,,,,,,,,Ezri Konsa,DF,£9.7M,"£186,538"
,,,,,,,,Fabian Schär,DF,£6.0M,"£115,385"
,,,,,,,,Fabio Carvalho,FW,£6.2M,"£119,231"
,,,,,,,,Facundo Buonanotte,FW,£8.8M,"£169,231"
,,,,,,,,Federico Chiesa,FW,£4.4M,"£84,615"
,,,,,,,,Ferdi Kadioglu,DF,£4.2M,"£80,769"
,,,,,,,,Filip Jørgensen,GK,£4.8M,"£92,308"
,,,,,,,,Flynn Downes,MF,£9.3M,"£178,846"
,,,,,,,,Frank Onyeka,MF,£4.6M,"£88,462"
,,,,,,,,Fraser Forster,GK,£2.8M,"£53,846"
,,,,,,,,Gabriel Jesus,FW,£6.5M,"£125,000"
,,,,,,,,Gabriel Magalhães,DF,£7.7M,"£148,077"
,,,,,,,,Gabriel Martinelli,FW,£12.0M,"£230,769"
,,,,,,,,George Edmundson,DF,£3.7M,"£71,154"
,,,,,,,,George Hirst,FW,£5.0M,"£96,154"
,,,,,,,,Georginio Rutter,MF,£8.0M,"£153,846"
,,,,,,,,Gonçalo Guedes,MF,£8.8M,"£169,231"
,,,,,,,,Guglielmo Vicario,GK,£10.0M,"£192,308"
,,,,,,,,Guido Rodríguez,MF,£5.2M,"£100,000"
,,,,,,,,Gustavo Nunes,FW,£4.8M,"£92,308"
,,,,,,,,Hamza Choudhury,MF,£4.3M,"£82,692"
,,,,,,,,Harrison Armstrong,MF,£4.4M,"£84,615"
,,,,,,,,Harrison Reed,MF,£4.9M,"£94,231"
,,,,,,,,Harry Amass,DF,£4.4M,"£84,615"
,,,,,,,,Harry Clarke,DF,£3.8M,"£73,077"
,,,,,,,,Harry Howell,FW,£5.2M,"£100,000"
,,,,,,,,Harry Maguire,DF,£4.6M,"£88,462"
,,,,,,,,Harry Toffolo,DF,£5.2M,"£100,000"
,,,,,,,,Harry Wilson,FW,£9.3M,"£178,846"
,,,,,,,,Harry Winks,MF,£4.1M,"£78,846"
,,,,,,,,Harvey Barnes,FW,£9.4M,"£180,769"
,,,,,,,,Harvey Elliott,MF,£3.8M,"£73,077"
,,,,,,,,Hwang Hee-chan,MF,£5.1M,"£98,077"
,,,,,,,,Hákon Rafn Valdimarsson,GK,£2.9M,"£55,769"
,,,,,,,,Ian Maatsen,DF,£4.8M,"£92,308"
,,,,,,,,Ibrahim Sangaré,MF,£5.3M,"£101,923"
,,,,,,,,Ibrahima Konaté,DF,£10.7M,"£205,769"
,,,,,,,,Idrissa Gana Gueye,MF,£10.7M,"£205,769"
,,,,,,,,Igor,DF,£4.3M,"£82,692"
,,,,,,,,Iliman Ndiaye,FW,£8.4M,"£161,538"
,,,,,,,,Illia Zabarnyi,DF,£9.6M,"£184,615"
,,,,,,,,Ismaila Sarr,MF,£9.4M,"£180,769"
,,,,,,,,Issa Diop,DF,£3.2M,"£61,538"
,,,,,,,,Jack Clarke,FW,£6.1M,"£117,308"
,,,,,,,,Jack Grealish,FW,£4.6M,"£88,462"
,,,,,,,,Jack Harrison,FW,£10.1M,"£194,231"
,,,,,,,,Jack Hinshelwood,MF,£8.3M,"£159,615"
,,,,,,,,Jack Stephens,DF,£3.8M,"£73,077"
,,,,,,,,Jack Taylor,MF,£4.5M,"£86,538"
,,,,,,,,Jacob Greaves,DF,£6.3M,"£121,154"
,,,,,,,,Jacob Murphy,FW,£10.0M,"£192,308"
,,,,,,,,Jacob Ramsey,FW,£5.0M,"£96,154"
,,,,,,,,Jaden Philogene Bidace,FW,£5.7M,"£109,615"
,,,,,,,,Jadon Sancho,FW,£8.5M,"£163,462"
,,,,,,,,Jahmai Simpson-Pusey,DF,£5.4M,"£103,846"
,,,,,,,,Jake Evans,FW,£4.6M,"£88,462"
,,,,,,,,Jake O'Brien,DF,£5.4M,"£103,846"
,,,,,,,,Jakub Kiwior,DF,£4.1M,"£78,846"
,,,,,,,,Jakub Moder,MF,£4.1M,"£78,846"
,,,,,,,,Jakub Stolarczyk,GK,£3.9M,"£75,000"
,,,,,,,,James Bree,DF,£4.1M,"£78,846"
,,,,,,,,James Garner,MF,£4.3M,"£82,692"
,,,,,,,,James Hill,DF,£4.3M,"£82,692"
,,,,,,,,James Justin,DF,£6.7M,"£128,846"
,,,,,,,,James Maddison,MF,£8.5M,"£163,462"
,,,,,,,,James Mcatee,MF,£6.1M,"£117,308"
,,,,,,,,James Milner,MF,£4.8M,"£92,308"
,,,,,,,,James Tarkowski,DF,£9.7M,"£186,538"
,,,,,,,,James Ward-Prowse,MF,£5.4M,"£103,846"
,,,,,,,,Jamie Vardy,FW,£8.6M,"£165,385"
,,,,,,,,Jan Bednarek,DF,£8.7M,"£167,308"
,,,,,,,,Jan Paul van Hecke,DF,£8.5M,"£163,462"
,,,,,,,,Jannik Vestergaard,DF,£3.4M,"£65,385"
,,,,,,,,Jarell Quansah,DF,£4.6M,"£88,462"
,,,,,,,,Jarrad Branthwaite,DF,£6.7M,"£128,846"
,,,,,,,,Jarrod Bowen,FW,£14.0M,"£269,231"
,,,,,,,,Jason Steele,GK,£4.5M,"£86,538"
,,,,,,,,Jay Robinson,MF,£3.7M,"£71,154"
,,,,,,,,Jay Stansfield,MF,£6.0M,"£115,385"
,,,,,,,,Jayden Danns,MF,£4.1M,"£78,846"
,,,,,,,,Jayden Meghoma,DF,£3.1M,"£59,615"
,,,,,,,,Jean-Clair Todibo,DF,£9.6M,"£184,615"
,,,,,,,,Jean-Philippe Mateta,FW,£8.5M,"£163,462"
,,,,,,,,Jean-Ricner Bellegarde,MF,£6.8M,"£130,769"
,,,,,,,,Jefferson Lerma,MF,£11.4M,"£219,231"
,,,,,,,,Jeffrey Schlupp,MF,£4.3M,"£82,692"
,,,,,,,,Jens Cajuste,MF,£10.0M,"£192,308"
,,,,,,,,Jeremy Doku,FW,£9.2M,"£176,923"
,,,,,,,,Jeremy Monga,FW,£6.0M,"£115,385"
,,,,,,,,Jeremy Sarmiento,MF,£5.9M,"£113,462"
,,,,,,,,Jesper Lindstrøm,FW,£5.7M,"£109,615"
,,,,,,,,Joachim Andersen,DF,£4.1M,"£78,846"
,,,,,,,,Joachim Kayi Sanda,DF,£4.2M,"£80,769"
,,,,,,,,Joe Aribo,MF,£9.4M,"£180,769"
,,,,,,,,Joe Gomez,DF,£4.3M,"£82,692"
,,,,,,,,Joe Lumley,GK,£4.0M,"£76,923"
,,,,,,,,Joe Willock,MF,£3.8M,"£73,077"
,,,,,,,,Joel Ward,DF,£4.3M,"£82,692"
,,,,,,,,Joelinton,MF,£7.9M,"£151,923"
,,,,,,,,John McGinn,MF,£7.7M,"£148,077"
,,,,,,,,John Stones,DF,£4.2M,"£80,769"
,,,,,,,,Jonny Evans,DF,£3.9M,"£75,000"
,,,,,,,,Jordan Ayew,FW,£6.3M,"£121,154"
,,,,,,,,Jordan Pickford,GK,£8.1M,"£155,769"
,,,,,,,,Jorge Cuenca,DF,£3.9M,"£75,000"
,,,,,,,,Jorginho,MF,£5.5M,"£105,769"
,,,,,,,,Joshua Acheampong,DF,£4.3M,"£82,692"
,,,,,,,,Joshua King,MF,£5.5M,"£105,769"
,,,,,,,,Joshua Zirkzee,FW,£6.3M,"£121,154"
,,,,,,,,José Sá,GK,£10.4M,"£200,000"
,,,,,,,,Jota Silva,FW,£5.7M,"£109,615"
,,,,,,,,João Félix,FW,£5.8M,"£111,538"
,,,,,,,,João Gomes,MF,£7.0M,"£134,615"
,,,,,,,,João Pedro,FW,£10.0M,"£192,308"
,,,,,,,,Joël Veltman,DF,£3.6M,"£69,231"
,,,,,,,,Joško Gvardiol,DF,£6.3M,"£121,154"
,,,,,,,,Julian Araujo,DF,£4.7M,"£90,385"
,,,,,,,,Julio Enciso,MF,£5.3M,"£101,923"
,,,,,,,,Julio Soler,DF,£3.6M,"£69,231"
,,,,,,,,Jurriën Timber,DF,£7.0M,"£134,615"
,,,,,,,,Justin Devenny,MF,£3.6M,"£69,231"
,,,,,,,,Justin Kluivert,MF,£9.7M,"£186,538"
,,,,,,,,Jáder Durán,FW,£9.3M,"£178,846"
,,,,,,,,Jørgen Strand Larsen,FW,£9.5M,"£182,692"
,,,,,,,,Kaelan Casey,DF,£4.3M,"£82,692"
,,,,,,,,Kai Havertz,FW,£10.1M,"£194,231"
,,,,,,,,Kalvin Phillips,MF,£4.1M,"£78,846"
,,,,,,,,Kamaldeen Sulemana,FW,£4.6M,"£88,462"
,,,,,,,,Kaoru Mitoma,FW,£10.6M,"£203,846"
,,,,,,,,Kasey McAteer,FW,£6.7M,"£128,846"
,,,,,,,,Keane Lewis-Potter,DF,£7.3M,"£140,385"
,,,,,,,,Kenny Tete,DF,£4.1M,"£78,846"
,,,,,,,,Kepa Arrizabalaga,GK,£8.4M,"£161,538"
,,,,,,,,Kevin Danso,DF,£3.4M,"£65,385"
,,,,,,,,Kevin De Bruyne,MF,£7.3M,"£140,385"
,,,,,,,,Kevin Schade,FW,£10.4M,"£200,000"
,,,,,,,,Kieran Tierney,DF,£3.8M,"£73,077"
,,,,,,,,Kieran Trippier,DF,£4.6M,"£88,462"
,,,,,,,,Kiernan Dewsbury-Hall,MF,£4.7M,"£90,385"
,,,,,,,,Kim Jisoo,DF,£4.5M,"£86,538"
,,,,,,,,Kobbie Mainoo,MF,£4.2M,"£80,769"
,,,,,,,,Konstantinos Mavropanos,DF,£5.8M,"£111,538"
,,,,,,,,Kosta Nedeljković,DF,£3.9M,"£75,000"
,,,,,,,,Kostas Tsimikas,DF,£3.2M,"£61,538"
,,,,,,,,Kristoffer Ajer,DF,£3.7M,"£71,154"
,,,,,,,,Kyle Walker,DF,£4.1M,"£78,846"
,,,,,,,,Kyle Walker-Peters,DF,£9.3M,"£178,846"
,,,,,,,,Lamare Bogarde,DF,£3.3M,"£63,462"
,,,,,,,,Leandro Trossard,FW,£12.1M,"£232,692"
,,,,,,,,Leif Davis,DF,£7.7M,"£148,077"
,,,,,,,,Leny Yoro,DF,£3.3M,"£63,462"
,,,,,,,,Leon Bailey,FW,£4.3M,"£82,692"
,,,,,,,,Lesley Ugochukwu,MF,£3.7M,"£71,154"
,,,,,,,,Levi Colwill,DF,£6.9M,"£132,692"
,,,,,,,,Lewis Cook,MF,£10.1M,"£194,231"
,,,,,,,,Lewis Dunk,DF,£6.4M,"£123,077"
,,,,,,,,Lewis Hall,DF,£7.7M,"£148,077"
,,,,,,,,Lewis Miley,MF,£4.4M,"£84,615"
,,,,,,,,Lewis Orford,MF,£5.6M,"£107,692"
,,,,,,,,Liam Delap,FW,£11.6M,"£223,077"
,,,,,,,,Lisandro Martínez,DF,£3.2M,"£61,538"
,,,,,,,,Lloyd Kelly,DF,£4.3M,"£82,692"
,,,,,,,,Lucas Bergvall,MF,£5.7M,"£109,615"
,,,,,,,,Lucas Digne,DF,£9.3M,"£178,846"
,,,,,,,,Lucas Paquetá,MF,£10.3M,"£198,077"
,,,,,,,,Luis Díaz,FW,£9.1M,"£175,000"
,,,,,,,,Luis Guilherme,MF,£6.0M,"£115,385"
,,,,,,,,Luis Sinisterra,FW,£5.5M,"£105,769"
,,,,,,,,Luke Shaw,DF,£3.6M,"£69,231"
,,,,,,,,Luke Thomas,DF,£5.7M,"£109,615"
,,,,,,,,Luke Woolfenden,DF,£3.4M,"£65,385"
,,,,,,,,Mads Hermansen,GK,£6.8M,"£130,769"
,,,,,,,,Mads Roerslev,DF,£4.9M,"£94,231"
,,,,,,,,Malo Gusto,DF,£8.8M,"£169,231"
,,,,,,,,Manuel Akanji,DF,£9.4M,"£180,769"
,,,,,,,,Manuel Ugarte Ribeiro,MF,£6.2M,"£119,231"
,,,,,,,,Marc Cucurella,DF,£6.7M,"£128,846"
,,,,,,,,Marc Guiu,FW,£4.3M,"£82,692"
,,,,,,,,Marc Guéhi,DF,£6.8M,"£130,769"
,,,,,,,,Marco Asensio,MF,£4.6M,"£88,462"
,,,,,,,,Marcos Senesi,DF,£4.0M,"£76,923"
,,,,,,,,Marcus Harness,MF,£4.9M,"£94,231"
,,,,,,,,Marcus Rashford,FW,£5.4M,"£103,846"
,,,,,,,,Marcus Tavernier,FW,£8.9M,"£171,154"
,,,,,,,,Mario Lemina,MF,£5.7M,"£109,615"
,,,,,,,,Mark Flekken,GK,£6.2M,"£119,231"
,,,,,,,,Mark Travers,GK,£5.0M,"£96,154"
,,,,,,,,Marshall Munetsi,MF,£4.6M,"£88,462"
,,,,,,,,Martial Godo,FW,£6.7M,"£128,846"
,,,,,,,,Martin Dúbravka,GK,£3.5M,"£67,308"
,,,,,,,,Martin Ødegaard,MF,£7.0M,"£134,615"
,,,,,,,,Mason Holgate,FW,£5.9M,"£113,462"
,,,,,,,,Mason Mount,MF,£4.5M,"£86,538"
,,,,,,,,Massimo Luongo,MF,£4.0M,"£76,923"
,,,,,,,,Mateo Kovačić,MF,£6.6M,"£126,923"
,,,,,,,,Mateus Fernandes,MF,£8.5M,"£163,462"
,,,,,,,,Mateus Mane,MF,£4.6M,"£88,462"
,,,,,,,,Matheus Cunha,MF,£12.7M,"£244,231"
,,,,,,,,Matheus França,MF,£5.5M,"£105,769"
,,,,,,,,Matheus Nunes,DF,£7.1M,"£136,538"
,,,,,,,,Mathias Jensen,MF,£5.6M,"£107,692"
,,,,,,,,Mathis Amougou,MF,£6.0M,"£115,385"
,,,,,,,,Mathys Tel,FW,£5.7M,"£109,615"
,,,,,,,,Mats Wieffer,DF,£3.4M,"£65,385"
,,,,,,,,Matt Doherty,DF,£9.1M,"£175,000"
,,,,,,,,Matt O'Riley,MF,£5.6M,"£107,692"
,,,,,,,,Matt Targett,DF,£3.7M,"£71,154"
,,,,,,,,Matthijs de Ligt,DF,£8.4M,"£161,538"
,,,,,,,,Matty Cash,DF,£7.0M,"£134,615"
,,,,,,,,Matz Sels,GK,£10.3M,"£198,077"
,,,,,,,,Max Aarons,DF,£5.3M,"£101,923"
,,,,,,,,Max Kilman,DF,£9.6M,"£184,615"
,,,,,,,,Maxence Lacroix,DF,£9.6M,"£184,615"
,,,,,,,,Maxwel Cornet,FW,£4.6M,"£88,462"
,,,,,,,,Michael Golding,MF,£3.9M,"£75,000"
,,,,,,,,Michael Kayode,DF,£5.0M,"£96,154"
,,,,,,,,Michael Keane,DF,£4.8M,"£92,308"
,,,,,,,,Michail Antonio,FW,£5.0M,"£96,154"
,,,,,,,,Micky van de Ven,DF,£4.5M,"£86,538"
,,,,,,,,Miguel Almirón,FW,£5.1M,"£98,077"
,,,,,,,,Mikel Merino,MF,£8.3M,"£159,615"
,,,,,,,,Mikey Moore,FW,£4.6M,"£88,462"
,,,,,,,,Mikkel Damsgaard,MF,£9.4M,"£180,769"
,,,,,,,,Milos Kerkez,DF,£6.0M,"£115,385"
,,,,,,,,Mohamed Salah,FW,£13.6M,"£261,538"
,,,,,,,,Mohammed Kudus,FW,£8.0M,"£153,846"
,,,,,,,,Moisés Caicedo,MF,£8.2M,"£157,692"
,,,,,,,,Morato,DF,£4.7M,"£90,385"
,,,,,,,,Morgan Gibbs-White,MF,£9.1M,"£175,000"
,,,,,,,,Morgan Rogers,FW,£8.4M,"£161,538"
,,,,,,,,Murillo,DF,£9.3M,"£178,846"
,,,,,,,,Mykhailo Mudryk,FW,£5.0M,"£96,154"
,,,,,,,,Myles Lewis-Skelly,DF,£3.9M,"£75,000"
,,,,,,,,Nasser Djiga,DF,£5.6M,"£107,692"
,,,,,,,,Nathan Aké,DF,£5.4M,"£103,846"
,,,,,,,,Nathan Broadhead,MF,£4.0M,"£76,923"
,,,,,,,,Nathan Butler-Oyedeji,FW,£4.5M,"£86,538"
,,,,,,,,Nathan Collins,DF,£7.7M,"£148,077"
,,,,,,,,Nathan Patterson,DF,£3.8M,"£73,077"
,,,,,,,,Nathan Wood-Gordon,DF,£4.1M,"£78,846"
,,,,,,,,Nathaniel Clyne,DF,£3.5M,"£67,308"
,,,,,,,,Neco Williams,DF,£6.6M,"£126,923"
,,,,,,,,Neto,GK,£4.8M,"£92,308"
,,,,,,,,Nick Pope,GK,£7.0M,"£134,615"
,,,,,,,,Niclas Füllkrug,FW,£5.5M,"£105,769"
,,,,,,,,Nico O’Reilly,DF,£5.2M,"£100,000"
,,,,,,,,Nicolas Jackson,FW,£8.9M,"£171,154"
,,,,,,,,Nicolás Domínguez,MF,£10.4M,"£200,000"
,,,,,,,,Nicolás González,MF,£5.6M,"£107,692"
,,,,,,,,Nikola Milenković,DF,£6.9M,"£132,692"
,,,,,,,,Noni Madueke,FW,£9.2M,"£176,923"
,,,,,,,,Noussair Mazraoui,DF,£10.6M,"£203,846"
,,,,,,,,Nélson Semedo,DF,£10.7M,"£205,769"
,,,,,,,,Odsonne Édouard,MF,£4.5M,"£86,538"
,,,,,,,,Ola Aina,DF,£8.3M,"£159,615"
