Name,Nationality,Date of Birth,Height,Club,Position,Appearances,Goals,Assists,Clean sheets,Facebook,Gls,Ast,xG,xAG,PrgC,PrgP,Min,MP,Tkl,TklW,Int,Recoveries,Gls_per_90,Ast_per_90
Ola Aina,Nigeria,08/10/1996 (27),184cm,Nottingham Forest,Defender,56.0,3.0,2.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Rayan Aït-Nouri,Algeria,06/06/2001 (23),180cm,Wolverhampton Wanderers,Defender,98.0,5.0,4.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kristoffer Ajer,Norway,17/04/1998 (26),198cm,Brentford,Defender,61.0,3.0,4.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Manuel Akanji,Switzerland,19/07/1995 (29),186cm,Manchester City,Defender,59.0,2.0,1.0,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ameen Al Dakhil,Belgium,06/03/2002,187cm,0,Defender,13.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Thiago Alcântara,Spain,11/04/1991,174cm,0,Midfielder,68.0,2.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alex Murphy,Ireland,25/06/2004 (20),0,Newcastle United,Defender,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alex Telles,Brazil,15/12/1992,181cm,0,Defender,30.0,0.0,6.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Trent Alexander-Arnold,England,07/10/1998 (25),175cm,Liverpool,Defender,226.0,15.0,58.0,68.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alisson Becker,Brazil,02/10/1992 (31),193cm,Liverpool,Goalkeeper,201.0,1.0,3.0,86.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Sonny Aljofree,England,19/12/2004 (19),0,0,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Josh Allen,England,21/12/2003,0,0,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Max Alleyne,England,21/07/2005 (19),0,Manchester City,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Miguel Almirón,Paraguay,10/02/1994 (30),174cm,Newcastle United,Midfielder,177.0,23.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Julián Álvarez,Argentina,31/01/2000 (24),170cm,Manchester City,Forward,67.0,20.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Steven Alzate,Colombia,08/09/1998,180cm,0,Midfielder,43.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Harry Amass,England,16/03/2007 (17),0,Manchester United,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Zeki Amdouni,Switzerland,04/12/2000,185cm,0,Forward,34.0,5.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Samuel Amissah,England,07/03/2007,0,0,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ethan Ampadu,Wales,14/09/2000,182cm,0,Defender,26.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Sofyan Amrabat,Morocco,21/08/1996,183cm,0,Midfielder,21.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joseph Anang,England,08/06/2000,190cm,0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joachim Andersen,Denmark,31/05/1996 (28),192cm,Crystal Palace,Defender,135.0,4.0,7.0,36.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Elliot Anderson,Scotland,06/11/2002 (21),179cm,Nottingham Forest,Midfielder,44.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
André Gomes,Portugal,30/07/1993,188cm,0,Midfielder,100.0,2.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Andrey Santos,Brazil,03/05/2004,178cm,0,Midfielder,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Vincent Angelini,Scotland,12/09/2003,186cm,0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ângelo,Brazil,21/12/2004 (19),180cm,Chelsea,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tino Anjorin,England,23/11/2001,185cm,0,Midfielder,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jaidon Anthony,England,01/12/1999 (24),183cm,Leeds United,Forward,33.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Antony,Brazil,24/02/2000 (24),174cm,Manchester United,Forward,54.0,5.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Keenan Appiah-Forson,England,16/10/2001,0,0,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Oliver Arblaster,England,05/05/2004,175cm,0,Midfielder,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Cameron Archer,England,09/12/2001 (22),181cm,Aston Villa,Forward,39.0,4.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alphonse Areola,France,27/02/1993 (31),195cm,West Ham United,Goalkeeper,73.0,0.0,0.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Benjamin Arthur,England,09/10/2005,0,0,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Harrison Ashby,Scotland,14/11/2001 (22),179cm,Newcastle United,Defender,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Lorenz Assignon,France,22/06/2000,179cm,0,Defender,15.0,1.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Noël Atom,Germany,05/01/2005,0,0,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Pierre-Emerick Aubameyang,Gabon,18/06/1989,187cm,0,Forward,143.0,69.0,16.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Sèrge Aurier,Cote D’Ivoire,24/12/1992,176cm,0,Defender,113.0,6.0,14.0,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Brandon Austin,England,08/01/1999 (25),188cm,Tottenham Hotspur,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Taiwo Awoniyi,Nigeria,12/08/1997 (26),183cm,Nottingham Forest,Forward,47.0,16.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Yasin Ayari,Sweden,06/10/2003 (20),172cm,Blackburn Rovers,Midfielder,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jordan Ayew,Ghana,11/09/1991 (32),182cm,Crystal Palace,Forward,274.0,37.0,25.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
César Azpilicueta,Spain,28/08/1989,178cm,0,Defender,349.0,10.0,35.0,115.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Abdul Baba,Ghana,02/07/1994,180cm,0,Defender,15.0,0.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Benoît Badiashile,France,26/03/2001 (23),194cm,Chelsea,Defender,29.0,1.0,1.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Leon Bailey,Jamaica,09/08/1997 (26),178cm,Aston Villa,Midfielder,86.0,15.0,15.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Eric Bailly,Cote D’Ivoire,12/04/1994,187cm,0,Defender,70.0,1.0,0.0,24.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Stefan Bajcetic,Spain,22/10/2004 (19),185cm,Liverpool,Midfielder,12.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Benicio Baker-Boaitey,England,09/01/2004,0,0,Forward,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ellery Balcombe,England,15/10/1999,190cm,0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
George Baldock,Greece,09/03/1993,178cm,0,Defender,83.0,2.0,6.0,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Carlos Baleba,Cameroon,03/01/2004 (20),179cm,Brighton & Hove Albion,Midfielder,27.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Emilio Ballard-Matthews,England,11/08/2008 (15),0,Wolverhampton Wanderers,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Fodé Ballo-Touré,Senegal,03/01/1997,182cm,0,Defender,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kofi Balmer,Northern Ireland,19/09/2000,183cm,0,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Folarin Balogun,United States,03/07/2001,178cm,0,Forward,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Scott Banks,Scotland,26/09/2001,183cm,0,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Shandon Baptiste,Grenada,08/04/1998,175cm,0,Midfielder,55.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Valentín Barco,Argentina,23/07/2004 (20),170cm,Brighton & Hove Albion,Defender,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ty Barnett,England,19/07/2005 (19),0,Wolverhampton Wanderers,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Luca Barrington,England,12/12/2004,0,0,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Chris Basham,England,20/07/1988,190cm,0,Defender,98.0,1.0,4.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Calvin Bassey,Nigeria,31/12/1999 (24),185cm,Fulham,Defender,29.0,1.0,0.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Samuel Bastien,DR Congo,26/09/1996,175cm,0,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joe Bauress,England,01/03/2006,0,0,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Nathan Baxter,England,08/11/1998,191cm,0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Altay Bayindir,Turkey,14/04/1998 (26),198cm,Manchester United,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Eddie Beach,Wales,09/10/2003 (20),196cm,Chelsea,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Mads Bech,Denmark,07/01/1999,189cm,0,Defender,15.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Owen Beck,Wales,09/08/2002 (21),177cm,Liverpool,Defender,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Amari'i Bell,Jamaica,05/05/1994,180cm,0,Defender,21.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jimi Tauriainen,Finland,08/03/2004,0,0,Midfielder,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Marcus Tavernier,England,22/03/1999 (25),178cm,Bournemouth,Midfielder,53.0,8.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Slobodan Tedic,Serbia,13/04/2000,190cm,0,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Nathan Tella,Nigeria,05/07/1999,173cm,0,Midfielder,33.0,1.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kenny Tete,Netherlands,09/10/1995 (28),180cm,Fulham,Defender,67.0,2.0,6.0,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Thiago Silva,Brazil,22/09/1984,183cm,0,Defender,113.0,8.0,3.0,32.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bobby Thomas,England,30/01/2001,186cm,0,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Elliot Thorpe,Wales,09/11/2000,176cm,0,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Youri Tielemans,Belgium,07/05/1997 (27),176cm,Aston Villa,Midfielder,183.0,23.0,26.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kieran Tierney,Scotland,05/06/1997 (27),178cm,Real Sociedad,Defender,91.0,3.0,8.0,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jurriën Timber,Netherlands,17/06/2001 (23),179cm,Arsenal,Defender,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Harry Toffolo,England,19/08/1995 (28),183cm,Nottingham Forest,Defender,42.0,1.0,3.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Takehiro Tomiyasu,Japan,05/11/1998 (25),187cm,Arsenal,Defender,64.0,2.0,3.0,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Sandro Tonali,Italy,08/05/2000 (24),181cm,Newcastle United,Midfielder,8.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ivan Toney,England,16/03/1996 (28),185cm,Brentford,Forward,85.0,36.0,11.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Pau Torres,Spain,16/01/1997 (27),191cm,Aston Villa,Defender,29.0,2.0,0.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Toti Gomes,Portugal,16/01/1999 (25),187cm,Wolverhampton Wanderers,Defender,56.0,2.0,3.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
James Trafford,England,10/10/2002,197cm,0,Goalkeeper,28.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bertrand Traoré,Burkina Faso,06/09/1995,181cm,0,Forward,65.0,11.0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Mark Travers,Ireland,18/05/1999 (25),191cm,Bournemouth,Goalkeeper,19.0,0.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Mike Trésor,Belgium,28/05/1999,172cm,0,Forward,16.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ryan Trevitt,England,12/03/2003 (21),170cm,Brentford,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Leandro Trossard,Belgium,04/12/1994 (29),172cm,Arsenal,Forward,170.0,38.0,24.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Auston Trusty,United States,12/08/1998,191cm,0,Defender,32.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kostas Tsimikas,Greece,12/05/1996 (28),179cm,Liverpool,Defender,48.0,0.0,9.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Matt Turner,United States,24/06/1994 (30),191cm,Nottingham Forest,Goalkeeper,17.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jay Turner-Cooke,England,31/12/2003 (20),0,Newcastle United,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ed Turns,Wales,18/10/2002 (21),0,Crewe Alexandra,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Scott Twine,England,14/07/1999,174cm,0,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Destiny Udogie,Italy,28/11/2002 (21),186cm,Tottenham Hotspur,Defender,28.0,2.0,3.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Lesley Ugochukwu,France,26/03/2004 (20),190cm,Chelsea,Midfielder,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Franco Umeh-Chibueze,Ireland,26/01/2005 (19),0,Crystal Palace,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Enes Ünal,Turkey,10/05/1997 (27),187cm,Bournemouth,Forward,16.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Deniz Undav,Germany,19/07/1996 (28),179cm,Brighton & Hove Albion,Forward,22.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Hákon Valdimarsson,Iceland,13/10/2001 (22),188cm,Brentford,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Harvey Vale,England,11/09/2003,181cm,0,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joel Valencia,Ecuador,16/11/1994,164cm,0,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Donny van de Beek,Netherlands,18/04/1997,184cm,0,Midfielder,42.0,3.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Micky van de Ven,Netherlands,19/04/2001 (23),193cm,Tottenham Hotspur,Defender,27.0,3.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Sepp van den Berg,Netherlands,20/12/2001 (22),189cm,Liverpool,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Virgil van Dijk,Netherlands,08/07/1991 (33),195cm,Liverpool,Defender,264.0,22.0,7.0,102.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jan Paul van Hecke,Netherlands,08/06/2000 (24),189cm,Brighton & Hove Albion,Defender,36.0,0.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Raphaël Varane,France,25/04/1993,191cm,0,Defender,68.0,2.0,1.0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alejo Véliz,Argentina,19/09/2003 (20),186cm,Sevilla,Forward,8.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joël Veltman,Netherlands,15/01/1992 (32),184cm,Brighton & Hove Albion,Defender,120.0,4.0,4.0,23.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bart Verbruggen,Netherlands,18/08/2002 (21),193cm,Brighton & Hove Albion,Goalkeeper,21.0,0.0,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Guglielmo Vicario,Italy,07/10/1996 (27),194cm,Tottenham Hotspur,Goalkeeper,38.0,0.0,0.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Lawrence Vigouroux,Chile,19/11/1993,194cm,0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Matías Viña,Uruguay,09/11/1997,175cm,0,Defender,12.0,2.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Vinicius Souza,Brazil,17/06/1999,187cm,0,Midfielder,36.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Radek Vítek,Czech Republic,24/10/2003 (20),198cm,Accrington Stanley,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Vitinho,Brazil,23/07/1999,175cm,0,Defender,32.0,0.0,2.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Odysseas Vlachodimos,Greece,26/04/1994 (30),188cm,Newcastle United,Goalkeeper,5.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Nikola Vlasic,Croatia,04/10/1997,178cm,0,Midfielder,31.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jack Wadham,England,25/02/2003,183cm,0,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ethan Wady,United States,23/01/2002,0,0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Reuell Walters,England,16/12/2004,183cm,0,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jack Walton,England,23/04/1998,184cm,0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Aaron Wan-Bissaka,England,26/11/1997 (26),183cm,Manchester United,Defender,172.0,2.0,13.0,51.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Lewis Warrington,England,10/10/2002,0,0,Midfielder,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ollie Watkins,England,30/12/1995 (28),180cm,Aston Villa,Forward,146.0,59.0,26.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Louie Watson,Ireland,07/06/2001,0,0,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kelland Watts,England,03/11/1999,192cm,0,Defender,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Wout Weghorst,Netherlands,07/08/1992,197cm,0,Forward,37.0,2.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jensen Weir,England,31/01/2002 (22),186cm,Port Vale,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
