Rk,Player,Nation,Pos,Squad,Age,Weekly Wages (GBP),Annual Wages (GBP)
251,James Milner,eng ENG,MF,Brighton,39,60000,3120000
252,Mats Wieffer,nl NED,DF,Brighton,25,60000,3120000
253,Olivier Boscagli,fr FRA,DF,Brighton,27,60000,3120000
254,Beto,gw GNB,FW,Everton,27,60000,3120000
255,Arnaud Kalimuendo,fr FRA,FW,Nottingham Forest,23,60000,3120000
256,Ola Aina,ng NGA,DF,Nottingham Forest,28,60000,3120000
257,Antonee Robinson,us USA,"DF,MF",Fulham,27,60000,3120000
258,Rodrigo Muniz,br BRA,FW,Fulham,24,60000,3120000
259,Kepa Arrizabalaga,es ESP,GK,Arsenal,30,60000,3120000
260,Vitaliy Mykolenko,ua UKR,DF,Everton,26,58000,3016000
261,André Onana,cm CMR,GK,Manchester Utd,29,57500,2990000
262,Mathys Tel,fr FRA,"MF,FW",Tottenham Hotspur,20,55000,2860000
263,Yves Bissouma,ml MLI,MF,Tottenham Hotspur,28,55000,2860000
264,Chris Richards,us USA,DF,Crystal Palace,25,55000,2860000
265,Kyle Walker-Peters,eng ENG,DF,West Ham United,28,55000,2860000
266,Giovanni Leoni,it ITA,DF,Liverpool,18,55000,2860000
267,Arthur Masuaku,cd COD,DF,Sunderland,31,55000,2860000
268,Josh Cullen,ie IRL,MF,Burnley,29,55000,2860000
269,Lesley Ugochukwu,fr FRA,MF,Burnley,21,55000,2860000
270,Emil Krafth,se SWE,DF,Newcastle United,30,55000,2860000
271,Caoimhín Kelleher,ie IRL,GK,Brentford,26,55000,2860000
273,Maxim De Cuyper,be BEL,"DF,MF",Brighton,24,55000,2860000
274,Séamus Coleman,ie IRL,DF,Everton,36,55000,2860000
275,Omari Hutchinson,eng ENG,MF,Nottingham Forest,21,55000,2860000
276,Harry Wilson,wls WAL,MF,Fulham,28,55000,2860000
277,Sander Berge,no NOR,MF,Fulham,27,55000,2860000
278,Cristhian Mosquera,es ESP,DF,Arsenal,21,55000,2860000
280,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,28,50000,2600000
281,Maxence Lacroix,fr FRA,DF,Crystal Palace,25,50000,2600000
282,Nathaniel Clyne,eng ENG,"MF,DF",Crystal Palace,34,50000,2600000
283,David Brooks,wls WAL,MF,Bournemouth,28,50000,2600000
284,Marcos Senesi,ar ARG,DF,Bournemouth,28,50000,2600000
285,Lucas Perri,br BRA,GK,Leeds United,27,50000,2600000
286,Pascal Struijk,nl NED,DF,Leeds United,25,50000,2600000
287,Callum Wilson,eng ENG,FW,West Ham United,33,50000,2600000
288,Konstantinos Mavropanos,gr GRE,DF,West Ham United,27,50000,2600000
289,Łukasz Fabiański,pl POL,GK,West Ham United,40,50000,2600000
290,Curtis Jones,eng ENG,"MF,DF",Liverpool,24,50000,2600000
291,Wataru Endo,jp JPN,DF,Liverpool,32,50000,2600000
292,Matt Doherty,ie IRL,"DF,MF",Wolves,33,50000,2600000
293,Sam Johnstone,eng ENG,GK,Wolves,32,50000,2600000
294,Habib Diarra,sn SEN,MF,Sunderland,21,50000,2600000
295,Reinildo Mandava,mz MOZ,DF,Sunderland,31,50000,2600000
296,Marcus Edwards,eng ENG,"MF,FW",Burnley,26,50000,2600000
297,Maxime Estève,fr FRA,DF,Burnley,23,50000,2600000
298,Valentino Livramento,eng ENG,DF,Newcastle United,22,50000,2600000
299,Abdukodir Khusanov,uz UZB,DF,Manchester City,21,50000,2600000
300,James Trafford,eng ENG,GK,Manchester City,22,50000,2600000
301,Jeremy Doku,be BEL,"MF,FW",Manchester City,23,50000,2600000
302,Igor Thiago,br BRA,FW,Brentford,24,50000,2600000
303,Keane Lewis-Potter,eng ENG,"DF,MF",Brentford,24,50000,2600000
304,Mathias Jensen,dk DEN,MF,Brentford,29,50000,2600000
305,Filip Jørgensen,dk DEN,GK,Chelsea,23,50000,2600000
306,Marc Guiu,es ESP,FW,Chelsea,19,50000,2600000
307,Trevoh Chalobah,eng ENG,DF,Chelsea,26,50000,2600000
308,Brajan Gruda,de GER,MF,Brighton,21,50000,2600000
309,Jan Paul van Hecke,nl NED,DF,Brighton,25,50000,2600000
310,Joël Veltman,nl NED,DF,Brighton,33,50000,2600000
311,Solly March,eng ENG,MF,Brighton,31,50000,2600000
312,Igor Jesus,br BRA,FW,Nottingham Forest,24,50000,2600000
313,Ryan Yates,eng ENG,MF,Nottingham Forest,27,50000,2600000
314,Taiwo Awoniyi,ng NGA,FW,Nottingham Forest,27,50000,2600000
315,Harrison Reed,eng ENG,MF,Fulham,30,50000,2600000
316,Kevin,br BRA,MF,Fulham,22,50000,2600000
318,Igor,br BRA,DF,Brighton,27,45000,2340000
319,Stefan Ortega,de GER,GK,Nottingham Forest,32,45000,2340000
320,Tom Heaton,eng ENG,GK,Manchester Utd,39,45000,2340000
321,Anton Stach,de GER,MF,Leeds United,26,45000,2340000
322,Brenden Aaronson,us USA,"MF,FW",Leeds United,24,45000,2340000
323,Jaka Bijol,si SVN,DF,Leeds United,26,45000,2340000
324,Sebastiaan Bornauw,be BEL,DF,Leeds United,26,45000,2340000
325,Crysencio Summerville,nl NED,"MF,FW",West Ham United,23,45000,2340000
326,Mads Hermansen,dk DEN,GK,West Ham United,25,45000,2340000
327,Marco Bizot,nl NED,GK,Aston Villa,34,45000,2340000
328,Ladislav Krejčí,cz CZE,"DF,MF",Wolves,26,45000,2340000
329,Trai Hume,nir NIR,"DF,MF",Sunderland,23,45000,2340000
330,Armando Broja,al ALB,FW,Burnley,23,45000,2340000
331,Axel Tuanzebe,cd COD,DF,Burnley,27,45000,2340000
332,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,26,45000,2340000
333,Jaidon Anthony,eng ENG,MF,Burnley,25,45000,2340000
334,Loum Tchaouna,fr FRA,"MF,FW",Burnley,21,45000,2340000
335,Quilindschy Hartman,nl NED,DF,Burnley,23,45000,2340000
336,Lewis Hall,eng ENG,DF,Newcastle United,20,45000,2340000
337,Malo Gusto,fr FRA,"DF,MF",Chelsea,22,45000,2340000
338,Roméo Lavia,be BEL,MF,Chelsea,21,45000,2340000
339,Iliman Ndiaye,sn SEN,MF,Everton,25,45000,2340000
340,Thierno Barry,fr FRA,FW,Everton,22,45000,2340000
341,Nicolò Savona,it ITA,DF,Nottingham Forest,22,45000,2340000
342,Calvin Bassey,ng NGA,DF,Fulham,25,45000,2340000
343,Ryan Sessegnon,eng ENG,"DF,MF",Fulham,25,45000,2340000
344,Myles Lewis-Skelly,eng ENG,"MF,DF",Arsenal,18,45000,2340000
346,Fraser Forster,eng ENG,GK,Bournemouth,37,40000,2080000
347,Axel Disasi,fr FRA,DF,West Ham United,27,40000,2080000
348,Patrick Dorgu,dk DEN,MF,Manchester Utd,20,40000,2080000
349,Djed Spence,eng ENG,"DF,MF",Tottenham Hotspur,24,40000,2080000
350,Wilson Odobert,fr FRA,"MF,FW",Tottenham Hotspur,20,40000,2080000
351,Tyrick Mitchell,eng ENG,MF,Crystal Palace,25,40000,2080000
352,Adam Smith,eng ENG,DF,Bournemouth,34,40000,2080000
353,Alex Scott,eng ENG,MF,Bournemouth,21,40000,2080000
354,Ethan Ampadu,wls WAL,MF,Leeds United,24,40000,2080000
355,Gabriel Gudmundsson,se SWE,"DF,MF",Leeds United,26,40000,2080000
356,Joe Rodon,wls WAL,DF,Leeds United,27,40000,2080000
357,Joël Piroe,sr SUR,FW,Leeds United,25,40000,2080000
358,Wilfried Gnonto,it ITA,FW,Leeds United,21,40000,2080000
360,Ki-Jana Hoever,nl NED,"MF,DF",Wolves,23,40000,2080000
361,Santiago Bueno,uy URU,DF,Wolves,26,40000,2080000
362,Chemsdine Talbi,ma MAR,"MF,FW",Sunderland,20,40000,2080000
363,Noah Sadiki,cd COD,MF,Sunderland,20,40000,2080000
364,Bashir Humphreys,eng ENG,"DF,MF",Burnley,22,40000,2080000
365,Florentino Luís,pt POR,MF,Burnley,25,40000,2080000
366,Joe Worrall,eng ENG,DF,Burnley,28,40000,2080000
367,Martin Dúbravka,sk SVK,GK,Burnley,36,40000,2080000
369,Fabio Carvalho,pt POR,MF,Brentford,22,40000,2080000
370,Frank Onyeka,ng NGA,MF,Brentford,27,40000,2080000
371,Kristoffer Ajer,no NOR,DF,Brentford,27,40000,2080000
372,Michael Kayode,it ITA,DF,Brentford,21,40000,2080000
373,Dario Essugo,pt POR,MF,Chelsea,20,40000,2080000
374,Gaga Slonina,us USA,GK,Chelsea,21,40000,2080000
375,Charalampos Kostoulas,gr GRE,FW,Brighton,18,40000,2080000
376,Yankuba Minteh,gm GAM,MF,Brighton,21,40000,2080000
378,Elliot Anderson,eng ENG,MF,Nottingham Forest,22,40000,2080000
379,James Mcatee,eng ENG,MF,Nottingham Forest,22,40000,2080000
380,John,br BRA,GK,Nottingham Forest,29,40000,2080000
381,Matz Sels,be BEL,GK,Nottingham Forest,33,40000,2080000
382,Willy Boly,ci CIV,DF,Nottingham Forest,34,40000,2080000
383,Evann Guessand,ci CIV,MF,Crystal Palace,24,37500,1950000
384,Angel Gomes,eng ENG,"MF,FW",Wolves,24,35000,1820000
385,Mamadou Sarr,sn SEN,DF,Chelsea,19,35000,1820000
386,Luca Netz,de GER,"DF,MF",Nottingham Forest,22,35000,1820000
387,Altay Bayındır,tr TUR,GK,Manchester Utd,27,35000,1820000
388,Adam Wharton,eng ENG,MF,Crystal Palace,21,35000,1820000
389,Borna Sosa,hr CRO,"DF,MF",Crystal Palace,27,35000,1820000
390,Walter Benítez,ar ARG,GK,Crystal Palace,32,35000,1820000
391,Adrien Truffert,fr FRA,DF,Bournemouth,23,35000,1820000
393,Romain Faivre,fr FRA,MF,Bournemouth,27,35000,1820000
394,James Justin,eng ENG,"DF,MF",Leeds United,27,35000,1820000
395,Lukas Nmecha,de GER,FW,Leeds United,26,35000,1820000
396,El Hadji Malick Diouf,sn SEN,"DF,MF",West Ham United,20,35000,1820000
397,Soungoutou Magassa,fr FRA,MF,West Ham United,21,35000,1820000
398,Chris Rigg,eng ENG,MF,Sunderland,18,35000,1820000
399,Daniel Ballard,nir NIR,DF,Sunderland,25,35000,1820000
